URI	code	Label (English)	Label (French)
http://id.loc.gov/vocabulary/languages/kut	kut	Kootenai	
http://id.loc.gov/vocabulary/languages/lad	lad	Ladino	
http://id.loc.gov/vocabulary/languages/lah	lah	Lahndā	
http://id.loc.gov/vocabulary/languages/lam	lam	Lamba (Zambia and Congo)	
http://id.loc.gov/vocabulary/languages/lao	lao	Lao	
http://id.loc.gov/vocabulary/languages/lat	lat	Latin	
http://id.loc.gov/vocabulary/languages/lav	lav	Latvian	
http://id.loc.gov/vocabulary/languages/lez	lez	Lezgian	
http://id.loc.gov/vocabulary/languages/lim	lim	Limburgish	
http://id.loc.gov/vocabulary/languages/lin	lin	Lingala	
http://id.loc.gov/vocabulary/languages/lit	lit	Lithuanian	
http://id.loc.gov/vocabulary/languages/lol	lol	Mongo-Nkundu	
http://id.loc.gov/vocabulary/languages/loz	loz	Lozi	
http://id.loc.gov/vocabulary/languages/ltz	ltz	Luxembourgish	
http://id.loc.gov/vocabulary/languages/lua	lua	Luba-Lulua	
http://id.loc.gov/vocabulary/languages/lub	lub	Luba-Katanga	
http://id.loc.gov/vocabulary/languages/lug	lug	Ganda	
http://id.loc.gov/vocabulary/languages/lui	lui	Luiseño	
http://id.loc.gov/vocabulary/languages/lun	lun	Lunda	
http://id.loc.gov/vocabulary/languages/luo	luo	Luo (Kenya and Tanzania)	
http://id.loc.gov/vocabulary/languages/lus	lus	Lushai	
http://id.loc.gov/vocabulary/languages/mac	mac	Macedonian	
http://id.loc.gov/vocabulary/languages/mad	mad	Madurese	
http://id.loc.gov/vocabulary/languages/mag	mag	Magahi	
http://id.loc.gov/vocabulary/languages/mah	mah	Marshallese	
http://id.loc.gov/vocabulary/languages/mai	mai	Maithili	
http://id.loc.gov/vocabulary/languages/mak	mak	Makasar	
http://id.loc.gov/vocabulary/languages/mal	mal	Malayalam	
http://id.loc.gov/vocabulary/languages/man	man	Mandingo	
http://id.loc.gov/vocabulary/languages/mao	mao	Maori	
http://id.loc.gov/vocabulary/languages/map	map	Austronesian (Other)	
http://id.loc.gov/vocabulary/languages/mar	mar	Marathi	
http://id.loc.gov/vocabulary/languages/mas	mas	Maasai	
http://id.loc.gov/vocabulary/languages/may	may	Malay	
http://id.loc.gov/vocabulary/languages/mdf	mdf	Moksha	
http://id.loc.gov/vocabulary/languages/mdr	mdr	Mandar	
http://id.loc.gov/vocabulary/languages/men	men	Mende	
http://id.loc.gov/vocabulary/languages/mga	mga	Irish, Middle (ca. 1100-1550)	
http://id.loc.gov/vocabulary/languages/mic	mic	Micmac	
http://id.loc.gov/vocabulary/languages/min	min	Minangkabau	
http://id.loc.gov/vocabulary/languages/mis	mis	Miscellaneous languages	
http://id.loc.gov/vocabulary/languages/mkh	mkh	Mon-Khmer (Other)	
http://id.loc.gov/vocabulary/languages/mlg	mlg	Malagasy	
http://id.loc.gov/vocabulary/languages/mlt	mlt	Maltese	
http://id.loc.gov/vocabulary/languages/mnc	mnc	Manchu	
http://id.loc.gov/vocabulary/languages/mni	mni	Manipuri	
http://id.loc.gov/vocabulary/languages/mno	mno	Manobo languages	
http://id.loc.gov/vocabulary/languages/moh	moh	Mohawk	
http://id.loc.gov/vocabulary/languages/mon	mon	Mongolian	
http://id.loc.gov/vocabulary/languages/mos	mos	Mooré	
http://id.loc.gov/vocabulary/languages/mul	mul	Multiple languages	
http://id.loc.gov/vocabulary/languages/mun	mun	Munda (Other)	
http://id.loc.gov/vocabulary/languages/mus	mus	Creek	
http://id.loc.gov/vocabulary/languages/mwl	mwl	Mirandese	
http://id.loc.gov/vocabulary/languages/mwr	mwr	Marwari	
http://id.loc.gov/vocabulary/languages/myn	myn	Mayan languages	
http://id.loc.gov/vocabulary/languages/myv	myv	Erzya	
http://id.loc.gov/vocabulary/languages/nah	nah	Nahuatl	
http://id.loc.gov/vocabulary/languages/nai	nai	North American Indian (Other)	
http://id.loc.gov/vocabulary/languages/nap	nap	Neapolitan Italian	
http://id.loc.gov/vocabulary/languages/nau	nau	Nauru	
http://id.loc.gov/vocabulary/languages/nav	nav	Navajo	
http://id.loc.gov/vocabulary/languages/nbl	nbl	Ndebele (South Africa)	
http://id.loc.gov/vocabulary/languages/nde	nde	Ndebele (Zimbabwe)	
http://id.loc.gov/vocabulary/languages/ndo	ndo	Ndonga	
http://id.loc.gov/vocabulary/languages/nds	nds	Low German	
http://id.loc.gov/vocabulary/languages/nep	nep	Nepali	
http://id.loc.gov/vocabulary/languages/new	new	Newari	
http://id.loc.gov/vocabulary/languages/nia	nia	Nias	
http://id.loc.gov/vocabulary/languages/nic	nic	Niger-Kordofanian (Other)	
http://id.loc.gov/vocabulary/languages/niu	niu	Niuean	
http://id.loc.gov/vocabulary/languages/nno	nno	Norwegian (Nynorsk)	
http://id.loc.gov/vocabulary/languages/nob	nob	Norwegian (Bokmål)	
http://id.loc.gov/vocabulary/languages/nog	nog	Nogai	
http://id.loc.gov/vocabulary/languages/non	non	Old Norse	
http://id.loc.gov/vocabulary/languages/nor	nor	Norwegian	
http://id.loc.gov/vocabulary/languages/nqo	nqo	N'Ko	
http://id.loc.gov/vocabulary/languages/nso	nso	Northern Sotho	
http://id.loc.gov/vocabulary/languages/nub	nub	Nubian languages	
http://id.loc.gov/vocabulary/languages/nwc	nwc	Newari, Old	
http://id.loc.gov/vocabulary/languages/nya	nya	Nyanja	
http://id.loc.gov/vocabulary/languages/nym	nym	Nyamwezi	
http://id.loc.gov/vocabulary/languages/nyn	nyn	Nyankole	
http://id.loc.gov/vocabulary/languages/nyo	nyo	Nyoro	
http://id.loc.gov/vocabulary/languages/nzi	nzi	Nzima	
http://id.loc.gov/vocabulary/languages/oci	oci	Occitan (post-1500)	
http://id.loc.gov/vocabulary/languages/oji	oji	Ojibwa	
http://id.loc.gov/vocabulary/languages/ori	ori	Oriya	
http://id.loc.gov/vocabulary/languages/orm	orm	Oromo	
http://id.loc.gov/vocabulary/languages/osa	osa	Osage	
http://id.loc.gov/vocabulary/languages/oss	oss	Ossetic	
http://id.loc.gov/vocabulary/languages/ota	ota	Turkish, Ottoman	
http://id.loc.gov/vocabulary/languages/oto	oto	Otomian languages	
http://id.loc.gov/vocabulary/languages/paa	paa	Papuan (Other)	
http://id.loc.gov/vocabulary/languages/pag	pag	Pangasinan	
http://id.loc.gov/vocabulary/languages/pal	pal	Pahlavi	
http://id.loc.gov/vocabulary/languages/pam	pam	Pampanga	
http://id.loc.gov/vocabulary/languages/pan	pan	Panjabi	
http://id.loc.gov/vocabulary/languages/pap	pap	Papiamento	
http://id.loc.gov/vocabulary/languages/pau	pau	Palauan	
http://id.loc.gov/vocabulary/languages/peo	peo	Old Persian (ca. 600-400 B.C.)	
http://id.loc.gov/vocabulary/languages/per	per	Persian	
http://id.loc.gov/vocabulary/languages/phi	phi	Philippine (Other)	
http://id.loc.gov/vocabulary/languages/phn	phn	Phoenician	
http://id.loc.gov/vocabulary/languages/pli	pli	Pali	
http://id.loc.gov/vocabulary/languages/pol	pol	Polish	
http://id.loc.gov/vocabulary/languages/pon	pon	Pohnpeian	
http://id.loc.gov/vocabulary/languages/por	por	Portuguese	
http://id.loc.gov/vocabulary/languages/pra	pra	Prakrit languages	
http://id.loc.gov/vocabulary/languages/pro	pro	Provençal (to 1500)	
http://id.loc.gov/vocabulary/languages/pus	pus	Pushto	
http://id.loc.gov/vocabulary/languages/que	que	Quechua	
http://id.loc.gov/vocabulary/languages/raj	raj	Rajasthani	
http://id.loc.gov/vocabulary/languages/rap	rap	Rapanui	
http://id.loc.gov/vocabulary/languages/rar	rar	Rarotongan	
http://id.loc.gov/vocabulary/languages/roa	roa	Romance (Other)	
http://id.loc.gov/vocabulary/languages/roh	roh	Raeto-Romance	
http://id.loc.gov/vocabulary/languages/rom	rom	Romani	
http://id.loc.gov/vocabulary/languages/rum	rum	Romanian	
http://id.loc.gov/vocabulary/languages/run	run	Rundi	
http://id.loc.gov/vocabulary/languages/rup	rup	Aromanian	
http://id.loc.gov/vocabulary/languages/rus	rus	Russian	
http://id.loc.gov/vocabulary/languages/sad	sad	Sandawe	
http://id.loc.gov/vocabulary/languages/sag	sag	Sango (Ubangi Creole)	
http://id.loc.gov/vocabulary/languages/sah	sah	Yakut	
http://id.loc.gov/vocabulary/languages/sai	sai	South American Indian (Other)	
http://id.loc.gov/vocabulary/languages/sal	sal	Salishan languages	
http://id.loc.gov/vocabulary/languages/sam	sam	Samaritan Aramaic	
http://id.loc.gov/vocabulary/languages/san	san	Sanskrit	
http://id.loc.gov/vocabulary/languages/sas	sas	Sasak	
http://id.loc.gov/vocabulary/languages/sat	sat	Santali	
http://id.loc.gov/vocabulary/languages/scn	scn	Sicilian Italian	
http://id.loc.gov/vocabulary/languages/sco	sco	Scots	
http://id.loc.gov/vocabulary/languages/sel	sel	Selkup	
http://id.loc.gov/vocabulary/languages/sem	sem	Semitic (Other)	
http://id.loc.gov/vocabulary/languages/sga	sga	Irish, Old (to 1100)	
http://id.loc.gov/vocabulary/languages/sgn	sgn	Sign languages	
http://id.loc.gov/vocabulary/languages/shn	shn	Shan	
http://id.loc.gov/vocabulary/languages/sid	sid	Sidamo	
http://id.loc.gov/vocabulary/languages/sin	sin	Sinhalese	
http://id.loc.gov/vocabulary/languages/sio	sio	Siouan (Other)	
http://id.loc.gov/vocabulary/languages/sit	sit	Sino-Tibetan (Other)	
http://id.loc.gov/vocabulary/languages/sla	sla	Slavic (Other)	
http://id.loc.gov/vocabulary/languages/slo	slo	Slovak	
http://id.loc.gov/vocabulary/languages/slv	slv	Slovenian	
http://id.loc.gov/vocabulary/languages/sma	sma	Southern Sami	
http://id.loc.gov/vocabulary/languages/sme	sme	Northern Sami	
http://id.loc.gov/vocabulary/languages/smi	smi	Sami	
http://id.loc.gov/vocabulary/languages/smj	smj	Lule Sami	
http://id.loc.gov/vocabulary/languages/smn	smn	Inari Sami	
http://id.loc.gov/vocabulary/languages/smo	smo	Samoan	
http://id.loc.gov/vocabulary/languages/sms	sms	Skolt Sami	
http://id.loc.gov/vocabulary/languages/sna	sna	Shona	
http://id.loc.gov/vocabulary/languages/snd	snd	Sindhi	
http://id.loc.gov/vocabulary/languages/snk	snk	Soninke	
http://id.loc.gov/vocabulary/languages/sog	sog	Sogdian	
http://id.loc.gov/vocabulary/languages/som	som	Somali	
http://id.loc.gov/vocabulary/languages/son	son	Songhai	
http://id.loc.gov/vocabulary/languages/sot	sot	Sotho	
http://id.loc.gov/vocabulary/languages/spa	spa	Spanish	
http://id.loc.gov/vocabulary/languages/srd	srd	Sardinian	
http://id.loc.gov/vocabulary/languages/srn	srn	Sranan	
http://id.loc.gov/vocabulary/languages/srp	srp	Serbian	
http://id.loc.gov/vocabulary/languages/srr	srr	Serer	
http://id.loc.gov/vocabulary/languages/ssa	ssa	Nilo-Saharan (Other)	
http://id.loc.gov/vocabulary/languages/ssw	ssw	Swazi	
http://id.loc.gov/vocabulary/languages/suk	suk	Sukuma	
http://id.loc.gov/vocabulary/languages/sun	sun	Sundanese	
http://id.loc.gov/vocabulary/languages/sus	sus	Susu	
http://id.loc.gov/vocabulary/languages/sux	sux	Sumerian	
http://id.loc.gov/vocabulary/languages/swa	swa	Swahili	
http://id.loc.gov/vocabulary/languages/swe	swe	Swedish	
http://id.loc.gov/vocabulary/languages/syc	syc	Syriac	
http://id.loc.gov/vocabulary/languages/syr	syr	Syriac, Modern	
http://id.loc.gov/vocabulary/languages/tah	tah	Tahitian	
http://id.loc.gov/vocabulary/languages/tai	tai	Tai (Other)	
http://id.loc.gov/vocabulary/languages/tam	tam	Tamil	
http://id.loc.gov/vocabulary/languages/tat	tat	Tatar	
http://id.loc.gov/vocabulary/languages/tel	tel	Telugu	
http://id.loc.gov/vocabulary/languages/tem	tem	Temne	
http://id.loc.gov/vocabulary/languages/ter	ter	Terena	
http://id.loc.gov/vocabulary/languages/tet	tet	Tetum	
http://id.loc.gov/vocabulary/languages/tgk	tgk	Tajik	
http://id.loc.gov/vocabulary/languages/tgl	tgl	Tagalog	
http://id.loc.gov/vocabulary/languages/tha	tha	Thai	
http://id.loc.gov/vocabulary/languages/tib	tib	Tibetan	
http://id.loc.gov/vocabulary/languages/tig	tig	Tigré	
http://id.loc.gov/vocabulary/languages/tir	tir	Tigrinya	
http://id.loc.gov/vocabulary/languages/tiv	tiv	Tiv	
http://id.loc.gov/vocabulary/languages/tkl	tkl	Tokelauan	
http://id.loc.gov/vocabulary/languages/tlh	tlh	Klingon (Artificial language)	
http://id.loc.gov/vocabulary/languages/tli	tli	Tlingit	
http://id.loc.gov/vocabulary/languages/tmh	tmh	Tamashek	
http://id.loc.gov/vocabulary/languages/tog	tog	Tonga (Nyasa)	
http://id.loc.gov/vocabulary/languages/ton	ton	Tongan	
http://id.loc.gov/vocabulary/languages/tpi	tpi	Tok Pisin	
http://id.loc.gov/vocabulary/languages/tsi	tsi	Tsimshian	
http://id.loc.gov/vocabulary/languages/tsn	tsn	Tswana	
http://id.loc.gov/vocabulary/languages/tso	tso	Tsonga	
http://id.loc.gov/vocabulary/languages/tuk	tuk	Turkmen	
http://id.loc.gov/vocabulary/languages/tum	tum	Tumbuka	
http://id.loc.gov/vocabulary/languages/tup	tup	Tupi languages	
http://id.loc.gov/vocabulary/languages/tur	tur	Turkish	
http://id.loc.gov/vocabulary/languages/tut	tut	Altaic (Other)	
http://id.loc.gov/vocabulary/languages/tvl	tvl	Tuvaluan	
http://id.loc.gov/vocabulary/languages/twi	twi	Twi	
http://id.loc.gov/vocabulary/languages/tyv	tyv	Tuvinian	
http://id.loc.gov/vocabulary/languages/udm	udm	Udmurt	
http://id.loc.gov/vocabulary/languages/uga	uga	Ugaritic	
http://id.loc.gov/vocabulary/languages/uig	uig	Uighur	
http://id.loc.gov/vocabulary/languages/ukr	ukr	Ukrainian	
http://id.loc.gov/vocabulary/languages/umb	umb	Umbundu	
http://id.loc.gov/vocabulary/languages/und	und	Undetermined	
http://id.loc.gov/vocabulary/languages/urd	urd	Urdu	
http://id.loc.gov/vocabulary/languages/uzb	uzb	Uzbek	
http://id.loc.gov/vocabulary/languages/vai	vai	Vai	
http://id.loc.gov/vocabulary/languages/ven	ven	Venda	
http://id.loc.gov/vocabulary/languages/vie	vie	Vietnamese	
http://id.loc.gov/vocabulary/languages/vol	vol	Volapük	
http://id.loc.gov/vocabulary/languages/vot	vot	Votic	
http://id.loc.gov/vocabulary/languages/wak	wak	Wakashan languages	
http://id.loc.gov/vocabulary/languages/wal	wal	Wolayta	
http://id.loc.gov/vocabulary/languages/war	war	Waray	
http://id.loc.gov/vocabulary/languages/was	was	Washoe	
http://id.loc.gov/vocabulary/languages/wel	wel	Welsh	
http://id.loc.gov/vocabulary/languages/wen	wen	Sorbian (Other)	
http://id.loc.gov/vocabulary/languages/wln	wln	Walloon	
http://id.loc.gov/vocabulary/languages/wol	wol	Wolof	
http://id.loc.gov/vocabulary/languages/xal	xal	Oirat	
http://id.loc.gov/vocabulary/languages/xho	xho	Xhosa	
http://id.loc.gov/vocabulary/languages/yao	yao	Yao (Africa)	
http://id.loc.gov/vocabulary/languages/yap	yap	Yapese	
http://id.loc.gov/vocabulary/languages/yid	yid	Yiddish	
http://id.loc.gov/vocabulary/languages/yor	yor	Yoruba	
http://id.loc.gov/vocabulary/languages/ypk	ypk	Yupik languages	
http://id.loc.gov/vocabulary/languages/zap	zap	Zapotec	
http://id.loc.gov/vocabulary/languages/zbl	zbl	Blissymbolics	
http://id.loc.gov/vocabulary/languages/zen	zen	Zenaga	
http://id.loc.gov/vocabulary/languages/zha	zha	Zhuang	
http://id.loc.gov/vocabulary/languages/znd	znd	Zande languages	
http://id.loc.gov/vocabulary/languages/zul	zul	Zulu	
http://id.loc.gov/vocabulary/languages/zun	zun	Zuni	
http://id.loc.gov/vocabulary/languages/zxx	zxx	No linguistic content	
http://id.loc.gov/vocabulary/languages/zza	zza	Zaza	